Date,Light(minutes),Dark(minutes),Estimated_PPF(umol/m^2*s^1),Temperature(max),Temperature(mean),Temperature(min),RelativeHumidity
2021-01-01 00:00:00,553.2609125171035,886.7390874828965,0.0,30.733333333333334,22.26666666666667,13.766666666666667,30
2021-01-01 01:00:00,553.2609125171035,886.7390874828965,0.0,30.733333333333334,22.26666666666667,13.766666666666667,30
2021-01-01 02:00:00,553.2609125171035,886.7390874828965,0.0,30.733333333333334,22.26666666666667,13.766666666666667,30
2021-01-01 03:00:00,553.2609125171035,886.7390874828965,0.0,30.733333333333334,22.26666666666667,13.766666666666667,30
2021-01-01 04:00:00,553.2609125171035,886.7390874828965,0.0,30.733333333333334,22.26666666666667,13.766666666666667,30
2021-01-01 05:00:00,553.2609125171035,886.7390874828965,0.0,30.733333333333334,22.26666666666667,13.766666666666667,30
2021-01-01 06:00:00,553.2609125171035,886.7390874828965,0.0,30.733333333333334,22.26666666666667,13.766666666666667,30
2021-01-01 07:00:00,553.2609125171035,886.7390874828965,0.0,30.733333333333334,22.26666666666667,13.766666666666667,30
2021-01-01 08:00:00,553.2609125171035,886.7390874828965,0.0,30.733333333333334,22.26666666666667,13.766666666666667,30
2021-01-01 09:00:00,553.2609125171035,886.7390874828965,241.0,30.733333333333334,22.26666666666667,13.766666666666667,30
2021-01-01 10:00:00,553.2609125171035,886.7390874828965,524.0,30.733333333333334,22.26666666666667,13.766666666666667,30
2021-01-01 11:00:00,553.2609125171035,886.7390874828965,739.0,30.733333333333334,22.26666666666667,13.766666666666667,30
2021-01-01 12:00:00,553.2609125171035,886.7390874828965,853.0,30.733333333333334,22.26666666666667,13.766666666666667,30
2021-01-01 13:00:00,553.2609125171035,886.7390874828965,854.0,30.733333333333334,22.26666666666667,13.766666666666667,30
2021-01-01 14:00:00,553.2609125171035,886.7390874828965,742.0,30.733333333333334,22.26666666666667,13.766666666666667,30
2021-01-01 15:00:00,553.2609125171035,886.7390874828965,529.0,30.733333333333334,22.26666666666667,13.766666666666667,30
2021-01-01 16:00:00,553.2609125171035,886.7390874828965,247.0,30.733333333333334,22.26666666666667,13.766666666666667,30
2021-01-01 17:00:00,553.2609125171035,886.7390874828965,2.0,30.733333333333334,22.26666666666667,13.766666666666667,30
2021-01-01 18:00:00,553.2609125171035,886.7390874828965,0.0,30.733333333333334,22.26666666666667,13.766666666666667,30
2021-01-01 19:00:00,553.2609125171035,886.7390874828965,0.0,30.733333333333334,22.26666666666667,13.766666666666667,30
2021-01-01 20:00:00,553.2609125171035,886.7390874828965,0.0,30.733333333333334,22.26666666666667,13.766666666666667,30
2021-01-01 21:00:00,553.2609125171035,886.7390874828965,0.0,30.733333333333334,22.26666666666667,13.766666666666667,30
